id,name,region,category,lat,lng,has_image,image_source,image_url,image_thumbnail,image_page,image_title,image_verified,image_verification_score,image_verification_max,image_rejected_count,image_was_new,image_reject_reasons,v1_license,v2_metadata,v3_safe,v4_gps,v5_vision
p407,Krigsvollbekken,Trøndelag,picnic,62.73899,10.65592,False,,,,,,False,0,5,0,False,,,,,,
p408,Synnerdalen,Trøndelag,picnic,62.71567,10.72227,False,,,,,,False,0,5,0,False,,,,,,
p409,Nessmoen,Trøndelag,picnic,62.94934,10.76277,False,,,,,,False,0,5,0,False,,,,,,
p410,Carl Fredrik Hellevang-Larsens plass,Møre og Romsdal,picnic,63.05288,7.63227,False,,,,,,False,0,5,0,False,,,,,,
p411,Tvedestrand,Agder,picnic,58.6265,8.9246,False,,,,,,False,0,5,0,False,,,,,,
p412,Maryland,Rogaland,picnic,59.70753,6.53848,False,,,,,,False,0,5,0,False,,,,,,
p413,Midtfjordsplassen,Agder,picnic,58.06424,7.10573,False,,,,,,False,0,5,0,False,,,,,,
p414,Varmestue,Innlandet,picnic,61.47024,10.13751,False,,,,,,False,0,5,0,False,,,,,,
p415,Bjøråa,Innlandet,picnic,61.6676,10.88512,False,,,,,,False,0,5,0,False,,,,,,
p416,Lyngnes,Agder,picnic,58.80739,7.79034,False,,,,,,False,0,5,0,False,,,,,,
p417,Steinbord,Vestland,picnic,59.87318,6.65365,False,,,,,,False,0,5,0,False,,,,,,
p418,Osterfloten,Rogaland,picnic,59.41373,6.11728,False,,,,,,False,0,5,0,False,,,,,,
p419,Slettafossen,Møre og Romsdal,waterfall,62.32452,8.07783,False,,,,,,False,0,5,0,False,,,,,,
p420,Florsfossen,Vestland,waterfall,60.79257,5.90522,False,,,,,,False,0,5,0,False,,,,,,
p421,Gammelfossen,Møre og Romsdal,waterfall,63.04919,7.61481,False,,,,,,False,0,5,1,False,Averøy kommunehus.jpg: L1: Unknown or restricted license: cc by-sa 4.0,,,,,
p422,Bekkefossen,Vestland,waterfall,61.07742,7.97761,False,,,,,,False,0,5,0,False,,,,,,
p423,Bergsfossen,Vestland,waterfall,60.55894,5.99335,False,,,,,,False,0,5,0,False,,,,,,
p424,Langefossen,Vestland,waterfall,60.83975,6.17504,False,,,,,,False,0,5,0,False,,,,,,
p425,Pøylefossen,Vestland,waterfall,60.78104,5.85655,False,,,,,,False,0,5,0,False,,,,,,
p426,Strifossen,Vestland,waterfall,61.19601,5.5906,False,,,,,,False,0,5,0,False,,,,,,
p427,Haugfossane,Møre og Romsdal,waterfall,62.50468,6.81831,False,,,,,,False,0,5,0,False,,,,,,
p428,Giljafossen,Vestland,waterfall,60.51879,5.50394,False,,,,,,False,0,5,0,False,,,,,,
p429,Lifossen,Trøndelag,waterfall,63.64026,10.57214,False,,,,,,False,0,5,0,False,,,,,,
p430,Kvernafossen,Vestland,waterfall,60.54043,6.04288,False,,,,,,False,0,5,0,False,,,,,,
p431,Bergafossen,Vestland,waterfall,60.57208,6.89917,False,,,,,,False,0,5,0,False,,,,,,
p432,Smellefoss,Buskerud,waterfall,60.47909,9.19211,False,,,,,,False,0,5,0,False,,,,,,
p433,Botolvsfossen,Vestland,waterfall,61.05003,6.60906,False,,,,,,False,0,5,0,False,,,,,,
p434,Litlfallet,Innlandet,waterfall,61.39476,12.24804,False,,,,,,False,0,5,0,False,,,,,,
